id;start_date;end_date;language
1;2020-12-23T07:37:05;2020-12-23T05:27:20;SPANISH
2;2020-12-22T12:27:16;2020-12-23T07:31:41;SPANISH
3;2020-12-23T03:22:35;2020-12-22T13:56:44;FRENCH
4;2020-12-22T18:40:06;2020-12-23T06:11:32;FRENCH
5;2020-12-23T04:10:24;2020-12-23T08:57:23;FRENCH
6;2020-12-22T22:02:45;2020-12-23T10:10:59;FRENCH
7;2020-12-22T23:48:05;2020-12-22T17:38:56;FRENCH
8;2020-12-22T22:44:18;2020-12-23T09:00:26;SPANISH
9;2020-12-22T21:25:27;2020-12-22T18:06:50;SPANISH
10;2020-12-23T05:37:31;2020-12-22T16:12:01;SPANISH
